BB24_06_S10-016752C1,BB24_04_S10-016783A2,BB24_07_S10-017623A2,BB24_01_S10-018931A6,BB24_25_S11-011709,BB24_09_S11-012085C1,BB24_08_S11-003355A1,BB24_26_S12-011538,BB24_10_S12-003590C5,BB24_11_S12-008138A2,BB24_12_S13-003620D2,BB24_14_S13-008160A2,BB24_20_S13-019142C2,BB24_21_S13-021353A4,BB24_18_S13-009885J1,BB24_22_S14-012409D2,BB24_02_S14-002474B2,BB24_15_S16-023867D1,BB24_16_S16-007066C1,BB24_19_S17-018143A2,BB24_03_S21-024801A2,BB24_24_S21-028943A10,BB24_17_S21-032280A2,BB24_23_S22-009274B7
A2M,809.8,2592.88,5996.73,2242.26,1393.15,936.59,2802.52,6399.68,3603.75,1575.61,3324.74,1711.17,3982.55,1933.91,1224.49,3863.67,1730.37,1046.32,2451.99,1067.39,1835.93,3185.74,4913.43,3370.64
ABCF1,318.35,354.9,324.02,278.32,467.5,366.02,335.11,338.16,350.36,404,591.72,410.21,333.91,287.49,378.2,377.52,301.02,612.97,300.73,473.85,432.96,294.19,313.71,280.95
ACVR1C,49.63,52.61,27.54,16.85,28.05,166.86,29.79,22.72,25.5,38.56,336.72,24.77,125.22,24.4,52.57,23.59,50.49,30.45,26.06,27.62,345.39,22.63,38.03,28.33
ADAM12,118.63,128.6,347.89,11.04,64.11,123.8,313.6,30.74,259.7,277.29,186.34,22.79,700.28,154.88,300.19,95.36,122.35,87.28,22.05,276.23,153.72,113.15,1355.34,84.21
ADGRE1,26.63,7.88,12.85,7.55,8.5,69.98,18.2,13.37,20.78,11.02,58.85,5.95,17.39,12.73,15.26,19.66,9.71,8.88,14.03,7.79,11.68,4.38,14.94,14.95
ADM,273.57,74.32,163.39,95.29,88.16,134.57,62.06,169.75,196.43,190.98,2585.91,69.36,95.07,144.27,193.34,300.84,112.64,71.04,302.74,39.66,139.13,236.52,142.6,199.89
ADORA2A,119.84,35.07,44.98,26.73,20.7,86.12,28.96,41.43,61.38,44.07,78.46,63.41,48.69,27.58,50.88,32.44,31.07,24.36,32.08,21.25,27.24,27.74,52.96,24.4
AKT1,671.81,656.36,988.59,817.53,844.84,1076.54,941.62,843.4,826.33,1030.2,647.29,727.27,838.25,688.49,658.04,1004.75,572.91,1225.95,695.7,876.86,910.67,786.94,1011.75,785.41
ALDOA,1870.17,2616.26,2988.73,2503.15,3400.72,2987.4,3407.37,2555.6,2476.16,3292.61,3393.4,7186.52,3103.72,2645.74,6366.66,3239.39,2590.7,2286.48,2207.39,3137.02,3880.08,2341.12,3384.27,2195.68
ALDOC,163.41,160.33,148.7,90.06,149.6,80.74,80.26,165.74,79.33,110.18,241.92,216,86.96,133.67,105.15,112.08,118.47,35.52,136.33,83.58,308.42,141.62,110,110.18
ANGPT1,30.26,210.44,301.99,107.49,123.55,64.59,47.16,195.14,42.5,145.07,156.92,43.6,111.3,201.56,52.57,139.6,81.57,94.38,112.27,66.58,74.92,128.48,85.56,82.63
ANGPT2,83.52,53.44,100.97,33.7,44.08,7,69.5,72.18,46.27,53.25,215.76,49.54,49.85,59.41,39.01,77.67,21.36,19.28,54.13,18.42,24.32,72.27,118.15,50.37
ANGPTL4,52.05,29.23,120.25,52.88,51.42,129.18,292.91,268.66,67.05,78.96,1977.85,216.99,278.26,58.35,334.11,345.08,81.57,86.26,138.34,88.54,263.67,64.97,111.36,44.07
ANLN,36.31,35.91,43.14,20.34,85.49,43.06,215.13,12.03,14.17,55.09,8,26.75,47.54,23.34,206.91,28.51,19.42,35.52,14.03,58.08,268.53,54.75,74.69,11.8
APC,499.92,485.17,544.32,446.24,414.07,279.9,330.15,695.04,420.25,409.51,353.07,306.17,413.91,409.48,368.02,416.84,417.54,222.25,467.14,370.44,414.47,456.98,411.49,517.05
APH1B,75.05,44.26,51.4,71.47,57.44,134.57,36.41,50.79,51.94,51.42,39.23,40.62,54.49,57.29,52.57,41.29,54.38,38.56,70.17,24.79,62.27,66.43,63.83,104.67
API5,608.87,596.24,735.25,671.69,731.3,452.15,603.2,705.73,645.96,479.29,536.14,597.47,542.6,576.04,400.25,757,631.17,519.61,531.3,810.99,516.63,679.63,692.61,683.1
APLNR,197.31,31.73,87.2,78.44,29.39,59.21,209.34,33.42,42.5,47.75,232.11,15.85,193.62,21.22,256.09,63.9,7.77,58.86,22.05,109.08,107.02,16.79,181.98,62.96
APOE,4235.43,2564.49,1097.83,353.86,912.29,3552.58,2785.97,331.48,10173.8,2188.95,1104.98,4046.56,7175.55,1024.77,3371.58,2323.12,1837.18,1199.56,707.73,847.82,925.26,726.35,9632.67,3789.31
APOL6,566.5,724,419.49,281.23,309.22,527.5,450.12,347.52,889.61,626.2,1150.75,946.25,619.12,424.34,1243.14,382.43,464.15,403.91,425.04,294.65,529.28,437.27,691.25,530.43
AQP9,20.58,40.08,54.16,122.6,35.4,392.94,70.33,94.9,323.92,47.75,1134.4,45.58,121.74,49.86,106.85,253.65,73.8,23.34,100.24,18.42,491.33,130.67,141.24,103.09
AREG,30.26,45.09,23.87,146.42,8.5,129.18,50.47,13.37,261.59,117.53,542.68,47.56,761.73,131.54,39.01,228.08,50.49,109.6,90.22,6.37,148.86,113.15,374.82,160.54
ARG1,7.62,10.86,7.62,5.5,8.5,37.68,15.72,13.37,22.67,12.85,62.11,6.94,10.43,6.38,25.44,22.61,13.59,16.24,18.04,8.5,7.78,13.87,16.3,16.53
